GEO.id2,GEO.display-label,HC01_VC85,flag
25001,"Census Tract 101, Barnstable County, Massachusetts",42228,0
25001,"Census Tract 102.06, Barnstable County, Massachusetts",48452,0
25001,"Census Tract 102.08, Barnstable County, Massachusetts",62051,0
25001,"Census Tract 103.04, Barnstable County, Massachusetts",61138,0
25001,"Census Tract 103.06, Barnstable County, Massachusetts",55455,0
25001,"Census Tract 104, Barnstable County, Massachusetts",46741,0
25001,"Census Tract 105, Barnstable County, Massachusetts",68508,1
25001,"Census Tract 106, Barnstable County, Massachusetts",66852,1
25001,"Census Tract 107, Barnstable County, Massachusetts",64375,0
25001,"Census Tract 108, Barnstable County, Massachusetts",76768,1
25001,"Census Tract 109, Barnstable County, Massachusetts",65231,0
25001,"Census Tract 110.02, Barnstable County, Massachusetts",60044,0
25001,"Census Tract 111, Barnstable County, Massachusetts",79766,1
25001,"Census Tract 112, Barnstable County, Massachusetts",68617,1
25001,"Census Tract 113, Barnstable County, Massachusetts",69148,1
25001,"Census Tract 114, Barnstable County, Massachusetts",61108,0
25001,"Census Tract 115, Barnstable County, Massachusetts",49335,0
25001,"Census Tract 116, Barnstable County, Massachusetts",46813,0
25001,"Census Tract 117, Barnstable County, Massachusetts",60903,0
25001,"Census Tract 118.01, Barnstable County, Massachusetts",55507,0
25001,"Census Tract 118.02, Barnstable County, Massachusetts",65806,1
25001,"Census Tract 120.01, Barnstable County, Massachusetts",53739,0
25001,"Census Tract 120.02, Barnstable County, Massachusetts",44835,0
25001,"Census Tract 121.01, Barnstable County, Massachusetts",67596,1
25001,"Census Tract 121.02, Barnstable County, Massachusetts",65651,1
25001,"Census Tract 122, Barnstable County, Massachusetts",87188,1
25001,"Census Tract 125.02, Barnstable County, Massachusetts",57042,0
25001,"Census Tract 126.01, Barnstable County, Massachusetts",64000,0
25001,"Census Tract 126.02, Barnstable County, Massachusetts",37478,0
25001,"Census Tract 127, Barnstable County, Massachusetts",73646,1
25001,"Census Tract 128, Barnstable County, Massachusetts",64144,0
25001,"Census Tract 129, Barnstable County, Massachusetts",70404,1
25001,"Census Tract 130.02, Barnstable County, Massachusetts",68289,1
25001,"Census Tract 131, Barnstable County, Massachusetts",79659,1
25001,"Census Tract 132, Barnstable County, Massachusetts",70929,1
25001,"Census Tract 133, Barnstable County, Massachusetts",68295,1
25001,"Census Tract 134, Barnstable County, Massachusetts",87969,1
25001,"Census Tract 135, Barnstable County, Massachusetts",97689,1
25001,"Census Tract 136, Barnstable County, Massachusetts",93003,1
25001,"Census Tract 137, Barnstable County, Massachusetts",72031,1
25001,"Census Tract 138, Barnstable County, Massachusetts",73729,1
25001,"Census Tract 139, Barnstable County, Massachusetts",72344,1
25001,"Census Tract 140.02, Barnstable County, Massachusetts",62543,0
25001,"Census Tract 141, Barnstable County, Massachusetts",44405,0
25001,"Census Tract 143, Barnstable County, Massachusetts",86510,1
25001,"Census Tract 144.02, Barnstable County, Massachusetts",84583,1
25001,"Census Tract 145, Barnstable County, Massachusetts",69236,1
25001,"Census Tract 146, Barnstable County, Massachusetts",64357,0
25001,"Census Tract 147, Barnstable County, Massachusetts",61875,0
25001,"Census Tract 148, Barnstable County, Massachusetts",36066,0
25001,"Census Tract 149, Barnstable County, Massachusetts",79856,1
25001,"Census Tract 150.01, Barnstable County, Massachusetts",76356,1
25001,"Census Tract 150.02, Barnstable County, Massachusetts",61412,0
25001,"Census Tract 151, Barnstable County, Massachusetts",75625,1
25001,"Census Tract 152, Barnstable County, Massachusetts",85240,1
25001,"Census Tract 153, Barnstable County, Massachusetts",32786,0
25001,"Census Tract 9900, Barnstable County, Massachusetts",0,0
25003,"Census Tract 9001, Berkshire County, Massachusetts",20310,0
25003,"Census Tract 9002, Berkshire County, Massachusetts",28692,0
25003,"Census Tract 9003, Berkshire County, Massachusetts",43712,0
25003,"Census Tract 9004, Berkshire County, Massachusetts",46134,0
25003,"Census Tract 9005, Berkshire County, Massachusetts",75929,1
25003,"Census Tract 9006, Berkshire County, Massachusetts",21938,0
25003,"Census Tract 9007, Berkshire County, Massachusetts",52619,1
25003,"Census Tract 9008, Berkshire County, Massachusetts",80388,1
25003,"Census Tract 9009, Berkshire County, Massachusetts",62699,1
25003,"Census Tract 9011, Berkshire County, Massachusetts",56818,1
